iter	Logloss
0	0.6879039034
1	0.6764177349
2	0.6666007953
3	0.6576168156
4	0.653313561
5	0.6454005211
6	0.635201836
7	0.6304171382
8	0.623137061
9	0.6151506858
10	0.6094223975
11	0.6032868099
12	0.5970481092
13	0.5917278068
14	0.5886925972
15	0.5843781797
16	0.5796253843
17	0.57259387
18	0.5631705083
19	0.5584363888
20	0.5549496882
21	0.5528737518
22	0.5469250215
23	0.5412204935
24	0.5339986123
25	0.5277103124
26	0.5228388482
27	0.5167580412
28	0.5119601591
29	0.5076530557
30	0.5063070135
31	0.5035235855
32	0.4968413066
33	0.4915421834
34	0.4876247114
35	0.4853069276
36	0.481172406
37	0.47816479
38	0.4757536827
39	0.4721545812
40	0.4720878209
41	0.4704787685
42	0.4679874448
43	0.4661180888
44	0.4631800098
45	0.4612802491
46	0.4566477427
47	0.4545006414
48	0.4522428403
49	0.448717248
50	0.4447180018
51	0.4382740753
52	0.4381841125
53	0.4322263049
54	0.4284140675
55	0.4229308598
56	0.4198365303
57	0.4148118201
58	0.4132265657
59	0.4097506955
60	0.4065971745
61	0.4033888953
62	0.3992771111
63	0.3962124259
64	0.3921376167
65	0.3916061746
66	0.3883289565
67	0.385238631
68	0.3837510362
69	0.3811465138
70	0.3779242028
71	0.3762971424
72	0.3751934032
73	0.3712333157
74	0.3684775087
75	0.3673436614
76	0.365197412
77	0.3641924369
78	0.3622115206
79	0.3614088379
80	0.3585108491
81	0.3564591868
82	0.3527818176
83	0.3504056655
84	0.3458474966
85	0.3448475499
86	0.3425010538
87	0.3408406895
88	0.3363079639
89	0.3348503911
90	0.333252737
91	0.3313079121
92	0.328391235
93	0.3255701487
94	0.3233773139
95	0.3226971771
96	0.3207341766
97	0.3178362774
98	0.3154352144
99	0.3144324221
100	0.310351721
101	0.3073165124
102	0.305271631
103	0.3047479242
104	0.302673726
105	0.3026486363
106	0.3007562532
107	0.2979489338
108	0.295090232
109	0.2933406522
110	0.2913390321
111	0.2896612312
112	0.2881182956
113	0.2869172391
114	0.2832292459
115	0.2816554861
116	0.2798151959
117	0.278877051
118	0.2776043553
119	0.2765912355
120	0.27504949
121	0.2740382117
122	0.2732869546
123	0.2718029732
124	0.269632801
125	0.2683533483
126	0.2667648966
127	0.2657661023
128	0.2625747167
129	0.2601325535
130	0.2584799742
131	0.2571263631
132	0.2564893259
133	0.2546232952
134	0.2518809025
135	0.2508576712
136	0.2502566921
137	0.2483510154
138	0.2473370336
139	0.2457788618
140	0.2442792813
141	0.2415615113
142	0.240198025
143	0.2388492969
144	0.2379067981
145	0.2369960603
146	0.2350041511
147	0.2330921021
148	0.2312459728
149	0.2280372556
150	0.2259223103
151	0.2238784698
152	0.2229487079
153	0.2216830628
154	0.2203553604
155	0.2185317966
156	0.2178123694
157	0.2171431752
158	0.2160194096
159	0.2144057878
160	0.2131714482
161	0.2117620094
162	0.2105500725
163	0.2092370697
164	0.207764847
165	0.2059022046
166	0.2045960767
167	0.203006307
168	0.2010569183
169	0.2005034662
170	0.1996203841
171	0.1984929064
172	0.1976252155
173	0.1967350497
174	0.1956758982
175	0.1948713055
176	0.193647093
177	0.1919804312
178	0.1903627808
179	0.1889269066
180	0.1875579901
181	0.1858020157
182	0.1842405128
183	0.1832768957
184	0.1822581262
185	0.1811017301
186	0.1799981581
187	0.1793672807
188	0.1778010066
189	0.1765226252
190	0.1751963786
191	0.1741482586
192	0.1736687854
193	0.1726206531
194	0.1710641116
195	0.1696631586
196	0.167461017
197	0.1665192141
198	0.1655993098
199	0.1647309309
